config,model,seed,run,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2,val_accuracy
C,tkan,3,3,kotekar,0.551282051,0.57052139,0.610962567,0.660714286,0.420454545,0.513888889,0.359691418,0.284528196,0.205329955,0.741935484
C,tkan,4,4,kotekar,0.525641026,0.53776738,0.577874332,0.609375,0.443181818,0.513157895,0.354378149,0.280431479,0.22863394,0.75483871
C,tkan,5,5,kotekar,0.512820513,0.528074866,0.567012032,0.6,0.409090909,0.486486486,0.360831068,0.28394568,0.200286329,0.729032258
C,tkan,6,6,kotekar,0.58974359,0.584558824,0.607118984,0.639534884,0.625,0.632183908,0.363679483,0.290335417,0.187610567,0.774193548
C,tkan,7,7,kotekar,0.532051282,0.543449198,0.615140374,0.615384615,0.454545455,0.522875817,0.36359806,0.290415466,0.187974274,0.748387097
C,tkan,8,8,kotekar,0.557692308,0.567847594,0.610962567,0.641791045,0.488636364,0.55483871,0.363078317,0.292224854,0.190294147,0.741935484
C,tkan,9,9,kotekar,0.544871795,0.564839572,0.579712567,0.654545455,0.409090909,0.503496503,0.362447191,0.28861773,0.193106651,0.75483871
C,tkan,10,10,kotekar,0.538461538,0.540775401,0.589237968,0.605263158,0.522727273,0.56097561,0.352696877,0.274772853,0.235935688,0.748387097
C,tkan,11,11,kotekar,0.557692308,0.582887701,0.582386364,0.693877551,0.386363636,0.496350365,0.362808289,0.28725493,0.191498041,0.748387097
C,tkan,12,12,kotekar,0.512820513,0.523061497,0.590073529,0.590909091,0.443181818,0.506493506,0.353195077,0.280828923,0.233775616,0.761290323
C,tkan,13,13,kotekar,0.532051282,0.535093583,0.573028075,0.6,0.511363636,0.552147239,0.364857403,0.290204048,0.182339549,0.767741935
C,tkan,14,14,kotekar,0.557692308,0.582887701,0.606784759,0.693877551,0.386363636,0.496350365,0.355566808,0.279587954,0.223450601,0.767741935
C,tkan,15,15,kotekar,0.519230769,0.532085561,0.588235294,0.603174603,0.431818182,0.503311258,0.361978142,0.288371384,0.195193648,0.741935484
C,tkan,16,16,kotekar,0.557692308,0.567847594,0.581550802,0.641791045,0.488636364,0.55483871,0.356943237,0.279398561,0.217426777,0.748387097
C,tkan,17,17,kotekar,0.557692308,0.574532086,0.599264706,0.661016949,0.443181818,0.530612245,0.367085443,0.29247281,0.17232281,0.761290323
C,tkan,18,18,kotekar,0.532051282,0.541778075,0.593582888,0.611940299,0.465909091,0.529032258,0.359638843,0.282469183,0.205562294,0.741935484
C,tkan,19,19,kotekar,0.506410256,0.515708556,0.557319519,0.582089552,0.443181818,0.503225806,0.359402407,0.282915652,0.206606507,0.75483871
C,tkan,20,20,kotekar,0.557692308,0.557820856,0.596256684,0.620253165,0.556818182,0.586826347,0.36296985,0.294200957,0.190777779,0.75483871
C,tkan,21,21,kotekar,0.551282051,0.560494652,0.586229947,0.632352941,0.488636364,0.551282051,0.357364858,0.282214552,0.215576947,0.741935484
C,tkan,22,22,kotekar,0.570512821,0.574197861,0.584893048,0.64,0.545454545,0.588957055,0.359090195,0.281368971,0.207984328,0.767741935
C,tkan,23,23,kotekar,0.538461538,0.5625,0.575868984,0.66,0.375,0.47826087,0.350141781,0.276146859,0.246966064,0.774193548
C,tkan,24,24,kotekar,0.58974359,0.612967914,0.60828877,0.730769231,0.431818182,0.542857143,0.363863345,0.293658704,0.186788917,0.787096774
C,tkan,25,25,kotekar,0.544871795,0.563168449,0.593582888,0.649122807,0.420454545,0.510344828,0.363507867,0.29291895,0.188377142,0.761290323
C,tkan,26,26,kotekar,0.525641026,0.534425134,0.601938503,0.602941176,0.465909091,0.525641026,0.368080636,0.292551637,0.167828918,0.709677419
C,tkan,27,27,kotekar,0.538461538,0.547459893,0.584391711,0.617647059,0.477272727,0.538461538,0.359943583,0.286400825,0.204215407,0.75483871
C,tkan,28,28,kotekar,0.525641026,0.546122995,0.604779412,0.62962963,0.386363636,0.478873239,0.357186057,0.281440288,0.216361642,0.767741935
C,tkan,29,29,kotekar,0.551282051,0.557152406,0.591076203,0.625,0.511363636,0.5625,0.354091386,0.279278576,0.229881823,0.761290323
D,lstm,0,0,kotekar,0.564102564,0.5,0.459893048,0.564102564,1,0.721311475,0.404185257,0.325638205,-0.003431201,0.6
D,lstm,1,1,kotekar,0.564102564,0.5,0.538602941,0.564102564,1,0.721311475,0.403621736,0.326479226,-0.000635147,0.6
D,lstm,2,2,kotekar,0.564102564,0.5,0.471925134,0.564102564,1,0.721311475,0.404229052,0.323583245,-0.003648758,0.6
D,lstm,3,3,kotekar,0.564102564,0.5,0.467413102,0.564102564,1,0.721311475,0.404302864,0.326200098,-0.004015207,0.6
D,lstm,4,4,kotekar,0.628205128,0.63368984,0.659592246,0.702702703,0.590909091,0.641975309,0.357925956,0.286355823,0.213111699,0.774193548
D,lstm,5,5,kotekar,0.583333333,0.590574866,0.635360963,0.661971831,0.534090909,0.591194969,0.358060194,0.283327907,0.212521434,0.780645161
D,lstm,6,6,kotekar,0.602564103,0.632687166,0.639371658,0.795454545,0.397727273,0.53030303,0.355787993,0.27862832,0.222484171,0.774193548
D,lstm,7,7,kotekar,0.602564103,0.61263369,0.671958556,0.691176471,0.534090909,0.602564103,0.3594762,0.28901723,0.206280649,0.780645161
D,lstm,8,8,kotekar,0.564102564,0.5,0.527907754,0.564102564,1,0.721311475,0.413262206,0.324661463,-0.049006104,0.6
D,lstm,9,9,kotekar,0.570512821,0.597593583,0.648061497,0.723404255,0.386363636,0.503703704,0.355942044,0.283454299,0.221810758,0.780645161
